Volume,Month,Link
1,Jan-10,https://assets.thoughtworks.com/assets/technology-radar-jan-2010.pdf
2,Apr-10,https://assets.thoughtworks.com/assets/technology-radar-april-2010.pdf
3,Aug-10,https://assets.thoughtworks.com/assets/technology-radar-august-2010.pdf
4,Jan-11,https://assets.thoughtworks.com/assets/technology-radar-january-2011.pdf
5,Jul-11,https://assets.thoughtworks.com/assets/technology-radar-july-2011.pdf
6,Mar-12,https://assets.thoughtworks.com/assets/technology-radar-march-2012.pdf
7,Oct-12,https://assets.thoughtworks.com/assets/technology-radar-october-2012.pdf
8,May-13,https://assets.thoughtworks.com/assets/technology-radar-may-2013.pdf
9,Jan-14,https://assets.thoughtworks.com/assets/technology-radar-jan-2014-en.pdf
10,Jul-14,https://assets.thoughtworks.com/assets/technology-radar-july-2014-en.pdf
11,Jan-15,https://assets.thoughtworks.com/assets/technology-radar-jan-2015-en.pdf
12,May-15,https://assets.thoughtworks.com/assets/technology-radar-may-2015-en.pdf
13,Nov-15,https://assets.thoughtworks.com/assets/technology-radar-nov-2015-en.pdf
14,Apr-16,https://assets.thoughtworks.com/assets/technology-radar-apr-2016-en.pdf
15,Nov-16,https://assets.thoughtworks.com/assets/technology-radar-nov-2016-en.pdf
16,Mar-17,https://assets.thoughtworks.com/assets/technology-radar-vol-16-en.pdf
17,Nov-17,https://assets.thoughtworks.com/assets/technology-radar-vol-17-en.pdf
18,May-18,https://assets.thoughtworks.com/assets/technology-radar-vol-18-en.pdf
19,Nov-18,https://assets.thoughtworks.com/assets/technology-radar-vol-19-en.pdf
20,Apr-19,https://assets.thoughtworks.com/assets/technology-radar-vol-20-en.pdf
